Lidepla,Type,English,Russian,Source
afte ,konekti, (konekti) after; in (at the end of),"после (предлог, употребляемый и во временном, и в пространственном значении), вслед; через (во временном значении): un afte otre один за другим; afte to после того, afte tri dey через 3 дня; aftemanya послезавтра; afte vidi - увидев; lopi afte koywan - бежать за кем-либо.  Ela go wek, lu krai koysa afte ela — она уходит, он что-то кричит ей вслед.",
afte yu ,, after you,,
afte to ,, after that,,
un afte otre ,, one after another,,
afte vidi ,, having seen,,
afte tri dey ,, in three days,,
afte un ora ,, in one hour,,
aften ,," (taim-komo) afterwards, later on, subsequently","впоследствии: tal ideas bin bifooen e ve bi aften – такие идеи были раньше и будут впоследствии; aften-ney последующий, позднейший",
Nu nadi ke aften ve ye meno gwer in munda. ,, We hope that afterwards (in future) there will be fewer wars in the world.,,
Nu he diskusi se olo aften. ,, We have discussed this all later on.,,
aftechi ,zwo," (zwo) eat with, eat smth after drinking",закусывать; ta pi un glasakin vodka e aftechi bay marinaden gurka он выпил рюмку водки и закусил маринованным огурцом,
Ta pi un glasakin vodka e aftechi bay marinaden gurka. ,, He had a glass of vodka with pickled cucumber. (Origin: afte+chi),,
agenda ,kwo, (kwo) agenda,повестка дня,Indonesian
agenta ,kwo, (kwo) agent (one empowered to act for or represent another),агент (человек); agentaguan агентство,
agentaguan ,kwo, (kwo) agency,,
agiti ,zwo, (zwo) agitate (also to stir up public interest in a cause),"волновать, возбуждать; агитировать; agiti-ney (agiten) взволнованный, возбуждённый; agita волнение, возбуждение; агитация (тж. agitasion)",
agiti-ney (agiten) ,kwel," (kwel) agitated, excited",,
agita ,kwo, (kwo) agitation (for the meaning “stirring up of public interest” one can use also “agitasion”),,
agni ,kwo, (kwo) fire,"огонь; пожар (тж.agnibeda); костёр (тж. fogera); agni-ki огонёк; agninka искра, fai agninka искрить; agnika зажигалка; agni-ney огненный; agnisi поджечь, зажечь; agniluma зарево; agniyuan пожарный; agniauto пожарная машина",
agnibeda ,, fire (occurrence of fire in a certain place),,
agnibrigada ,, fire-brigade,,
agninka ,kwo, (kwo) spark,,
fai agninka ,zwo, (zwo) spark,,
agni-ney ,kwel, (kwel) aflame; fiery,,
agnisi ,zwo," (zwo) burn up, fire up; sear",,
agniluma ,kwo, (kwo) glow (in sky),,
agni-ston ,kwo, (kwo) flint; gunflint,"огниво, кремень",
agniyuan ,kwo, (kwo) fireman,,
agniauto ,kwo, (kwo) fire engine,,Sanskrit
agra ,kwo," (kwo) (ploughed) field, tillage","пашня, нива, обрабатываемое поле; agralanda сельская местность; agralande сельский, деревенский; agrajen крестьянин (тж.kisan)",
agralanda ,kwo, (kwo) countryside,,
agralande ,kwel, (kwel) rural,,
agrajen ,kwo, (kwo) peasant (also “kisan”),,
agrare ,kwel, (kwel) agrarian,"аграрный, сельскохозяйственный",
agravi ,zwo, (zwo) aggravate (cf. “vexi”),"1) отягчать, осложнять, углублять; 2) обостряться, ухудшаться (о болезни etc); agrava ухудшение, осложнение",
agrava ,kwo, (kwo) aggravation,,
agresi ,zwo, (zwo) aggress; feel aggression,,
agresa ,kwo, (kwo) aggression,"агрессия; agresi агрессировать, испытывать/совершать агрессию; agresive агрессивный; agreser агрессор",
agresive ,kwel, (kwel) aggressive,,
agreser ,kwo, (kwo) aggressor,,Indonesian
agrisha ,kwo, (kwo) gooseberry,крыжовник,Romanian
agude ,kwel," (kwel) sharp, acute (also of sound – shrill)","острый (в разных смыслах); резкий, острый, пронзительный (о звуке); agudisi точить, заострять",
agudisi ,zwo, (zwo) sharpen,,
agudmente ,kwel, (kwel) witty,"остроумный; agudmentanik остроумный человек, острослов; agudmentika острота; agudmentitaa остроумие",
agudmentanik ,kwo," (kwo) wit, wittyman",,
agudmentika ,kwo, (kwo) witticism,,
agudmentitaa ,kwo, (kwo) wit (ability) Origin: agude+menta+ney,,
ah ,exklami, (exklami) ah (expresses strong emotions),,
fai ah ,zwo, (zwo) gasp with surprise,,
ahaa ,exklami, (exklami) aha,,
ahak ,kwo, (kwo) lime,известь,Arabic
ahfi ,zwo," (zwo) hide, conceal","прятать, таить, скрывать; ahfi swa прятаться; ahfi-shem (ahfem) тайком; ahfi-ney (ahfen) таимый, тайный; buahfi-ney (buahfen) нескрываемый; ahfishil скрытный; ahfilok тайник; тайное убежище; ahfi-go красться; ahfi-kan подглядывать; ahfi-geim прятки",
ahfi swa ,, hide oneself,,
ahfi-geim ,, hide-and-seek,,
ahfilok ,kwo, (kwo) hiding-place,,
ahfi-shem (ahfem) ,komo," (komo) hidingly, in a hiding way",,
ahfishil ,kwel," (kwel) reserved, reticent, secretive",,
buahfi-ney (buahfen) ,kwel," (kwel) unconcealed, undisguised",,
ahfi-go ,zwo," (zwo) slink, sneak, steal",,
ahfi-kan ,zwo," (zwo) peep, watch furtively",,Arabic
ahir ,," (loko-komo) hither, here, this way",,
Lai ahir. ,, Come here. (Origin: a+hir) Syn.: hir,,
ahmak ,kwo, (kwo) fool Syn.: stupida,"дурак, глупец (синоним stupida)",Arabic
ahuki ,zwo," (zwo) hitch, hook, couple, link, catch","цеплять(ся), зацеплять(ся), сцеплять(ся); may palto ahuki a naga e tori - моё пальто зацепилось за гвоздь и порвалось",
May palto ahuki a naga e tori. ,, My coat caught on a nail and tore.,,
aida ,exklami," (exklami) let's go, come along (invitation to go somewhere)","айда, пошли. Aida a riva! Айда на реку! Aida fo yabla! Айда за яблоками!",
Aida a riva! ,, Let’s go to the river!,,
Aida fo yabla! ,, Let’s go to get some apples!,,"Turkish, Slavic"
aika ,," (modus-komo) quite, rather","довольно, довольно-таки, весьма",
aika hao ,, quite well,,Finnish
ainshtanyum ,kwo, (kwo) einsteinium (chem.),эйнштейний (хим.),
aira ,kwo, (kwo) air,воздух; airaportu аэропорт; airameil авиапочта; airisi аэрировать; airavati проветривать,
aira kastela ,, castles in the air,,
airaportu ,kwo, (kwo) airport,,
airameil ,kwo, (kwo) airmail,,
airisi ,zwo, (zwo) aerate,,
airavati ,zwo, (zwo) air (expose to air),,
Airland ,kwo, (kwo) Ireland,Ирландия,
ais ,kwo, (kwo) ice,"лёд; ais farki fon akwa bay to ke it es twerde лёд отличается от воды тем, что он твёрдый; aiskrem мороженое; ais-ney ледяной; aisifa обледенение; ais-lenge холодный как лёд",
ais-lenge ,, ice-cold,,
ais-ney ,kwel," (kwel) ice, icy,",,
aiskrem ,kwo, (kwo) ice cream,,
aisifa ,kwo, (kwo) icing up,,
aiva ,kwo, (kwo) quince,айва,"Turkish, Russian"
aivi ,kwo, (kwo) ivy,плющ,English
ajibe ,kwel," (kwel) queer, weird, odd Syn.: strane, astoni-she, nopinchan","удивительный, чудной, странный, диковинный",Arabic
ajile ,kwel," (kwel) agile, alert, brisk","проворный, шустрый, живой, расторопный; do peda ajile лёгкий на ногу, быстроногий; do menta ajile с живым умом, сообразительный; ajilitaa проворство, прыть, шустрость; ajilisi оживлять, придавать шустрости",
do peda ajile ,," swift-footed, light-footed",,
do menta ajile ,," with agile mind, quick-witted",,
ajilitaa ,kwo," (kwo) agility, alertness, swiftness, legerity",,
ajilisi ,zwo, (zwo) brisk up,,
ajorni ,zwo," (zwo) adjourn, put off, defer (cf. ""deri"")","отложить, отсрочить, оттягивать; ajorna отсрочка",
ajorna ,kwo," (kwo) adjournment, postponement, reprieve",,
ajusti ,zwo," (zwo) adjust, regulate, set","настраивать, подстраивать; ajusti kloka подстроить часы; ajusti radio настроить радио",
"ajusti kloka, ajusti radio ",," adjust the clock/watch, adjust the radio",,
AK ,," shortening of “afte Krista” (“AD, anno Domini”)",нашей эры (сокращение от afte Krista),
akademia ,kwo, (kwo) academy,академия; akademiayuan академик; akademike академический,
akademiayuan ,kwo, (kwo) academician,,
akademike ,kwel, (kwel) academic,,
akasya ,kwo, (kwo) acacia,акация,
akauda ,kwo," (kwo) the sign ""@"" (Origin: ""a""+kauda)","название символа ""@""",
akaunta ,kwo, (kwo) account (a registry of pecuniary transactions; a subscription to a service),аккаунт (учётная запись); личный счёт,
aklami ,zwo," (zwo) acclaim, praise enthusiastically, cheer","бурно приветствовать, громко аплодировать",
aklama ,kwo," (kwo) acclaim, acclamation",,
akompani ,zwo, (zwo) accompany,"провожать, сопровождать; аккомпанировать; akompana сопровождение, провожание; аккомпанемент. Ob yu mog akompani me a dom? - Можешь проводить меня до дома?",
Ob yu akompani me a dom?,,Will you see me home?,,
akompana ,kwo, (kwo) accompaniment,,
akorda ,kwo, (kwo) chord (combination of pitches sounded simultaneously),аккорд,
akordion ,kwo, (kwo) accordion,аккордион,
akre ,kwel," (kwel) acrid, caustic, pungent",едкий,Spanish
akrobat ,kwo, (kwo) acrobat,акробат,Turkish
akseleri ,zwo, (zwo) accelerate,ускорять(ся); akselera ускорение,
akselera ,kwo," (kwo) acceleration Syn.: mah-kway, fa-kway",,
aksenta ,kwo, (kwo) accent,акцент; ударение (тж. переносн.); aksenti делать ударение; акцентировать,
aksenti ,zwo," (zwo) accent, accentuate See also: emfasi",,
aksepti ,zwo, (zwo) accept,"принимать; aksepta приём, принятие",
aksepta ,kwo, (kwo) acceptance,,
aksepter ,kwo, (kwo) acceptor,,
akses ,kwo, (kwo) access,доступ; aksesi иметь (получить) доступ; aksesibile доступный,
aksesi ,zwo," (zwo) access, have access to",,
aksesibile ,kwel, (kwel) accessible,,
aksham ,kwo, (kwo) evening,"вечер: klok sem de aksham в семь вечера; sey aksham этим вечером, сегодня вечером; manya aksham завтра вечером; aksham-ney вечерний",
klok pet de aksham ,, (at) five o’clock in the evening,,
sey aksham ,," this evening, tonight",,
manya aksham ,, tomorrow evening,,
akshamfan ,kwo, (kwo) evening meal; supper,ужин,Turkish
aksia ,kwo, (kwo) share (finance),акция (экон.),
aksidenta ,kwo," (kwo) accident (in an ill sense), mishap",несчастный случай; авария; aksidenta-ney (aksidente) аварийный,
aksidenta-ney (aksidente) ,kwel, (kwel) accident-related,,
akti ,zwo, (zwo) act,"действовать; akta акт, поступок, деяние; акт (театр.); akting действие, работа, функционирование; воздействие; aktive активный; aktivenesa активность; aktivitaa деятельность; aktivisi активизировать; aktivisa активизация; aktivista активист; ko-akti-sha сообщник; mah-akti задействовать, привести в действие",
mah-akti ,," bring into action, enable",,
akta ,kwo, (kwo) act; action (smth done),,
fai akta fo/kontra koysa ,, take action for/against smth,,
akting ,kwo, (kwo) action (functioning; effect),,
aktive ,kwel, (kwel) active,,
aktivenesa ,kwo, (kwo) activity (the state or quality of being active),,
aktivitaa ,kwo, (kwo) activity,,
aktivisi ,zwo, (zwo) activate,,
aktivisa ,kwo, (kwo) activation,,
aktivista ,kwo, (kwo) activist,,
ko-akti-sha ,kwo, (kwo) accomplice,,
aktinyum ,kwo, (kwo) actinium (chem.),актиний (хим.),
aktiva ,kwo, (kwo) assets (finance),актив (финанс.),
aktor ,kwo, (kwo) actor,актёр,
aktoro ,kwo, (kwo) male actor,,
aktorina ,kwo, (kwo) actress,,
aktuale ,kwel," (kwel) topical, of current importance, actual",актуальный; aktualisi актуализировать,
aktum ,kwo, (kwo) act (theater; legal document),акт (юрид.),
akumuli ,zwo, (zwo) accumulate,"копить, накапливать; akumula накопление, скопление, аккумуляция",
akumula ,kwo, (kwo) accumulation,,
akusi ,zwo," (zwo) accuse, inculpate, charge with, indict",обвинять; akusa обвинение,
akusa ,kwo, (kwo) accusation,,
akwa ,kwo, (kwo) water,вода; akwa(-ney) водный: akwa-ney solvitura водный раствор; akwish водянистый; akwa-de-kolonia одеколон; Akwayuan Водолей (знак зодиака),
akwa-ney ,kwel, (kwel) water; aqueous,,
akwish ,kwel, (kwel) watery,,
akwalwo ,kwo, (kwo) waterfall (Origin: akwa+lwo),водопад,
akwarium ,kwo, (kwo) aquarium,аквариум,Uzbek
akwatuber ,kwo, (kwo) plumber (one who works with water pipes),водопроводчик,
akwiri ,zwo, (zwo) acquire,приобретать; akwira приобретение,
akwira ,kwo, (kwo) acquisition,,
al ,konekti," (konekti) when doing smth, while, at, under (simultaneity, circumstances)","предлог: 1) с инфинитивами глаголов выражает совершение действия во время другого, переводится  деепричастием или предлогом ""при"": Al pasi bus-stopa me vidi-te ke lu stan dar – проходя мимо автобусной остановки, я видел, что он там стоит; al shwo om se – говоря об этом; al kupi auto – покупая машину; 2) указывает на время, обстановку, обстоятельства, выражает одновременность, при: al to – при этом; al lo kel – причём; al bakdao – на обратном пути; al klosi-ney dwar – при закрытых дверях; al sey halat – в этих обстоятельствах; al nau на сей момент, пока что; al un-ney kansa – на первый взгляд; me joi al vidi yu — я рад тебя видеть",
al suryachu ,, at dawn,,
al ke me kuki ,, while I’m cooking,,
al bakdao ,, on the way back,,
al klosi-ney dwar ,," behind closed doors, with doors closed",,
al sey halat ,, under these circumstances,,
al un-ney kansa ,, at first sight,,
al shwo om se ,, when speaking about it,,
"«Hao», ela shwo al smaili. ",," «OK», she said smiling.",,
al nau ,," currently, at the present moment",,
ala ,kwo, (kwo) wing,крыло,
alarma ,kwo, (kwo) alarm,тревога; alarmi вызывать тревогу; тревожить; alarmifi встревожиться; alarmi-ney встревоженный; alarmaful тревожный; aira-alarma воздушная тревога,
aira-alarma ,, air-raid warning,,
alarmi ,zwo, (zwo) alarm,,
alarmifi ,zwo," (zwo) get alarmed, uneasy",,
alarmi-ney ,kwel, (kwel) alarmed,,
alauda ,kwo," (kwo) lark, skylark",жаворонок,Latin
Albania ,kwo, (kwo) Albania,Албания,
albatros ,kwo, (kwo) albatross (sea bird),альбатрос,Turkish
album ,kwo, (kwo) album,альбом,
alee ,kwo," (kwo) lane, walk, path (in a garden, park, etc., generally between rows of trees)",аллея,
alegre ,kwel, (kwel) merry; cheerful; lighthearted; lively,весёлый; alegritaa веселье; alegrefai веселиться,
alegritaa ,kwo, (kwo) merriment; mirth; gaiety; liveliness,,
alergia ,kwo, (kwo) allergy,аллергия; alergike аллергический,
alergike ,kwel, (kwel) allergic,,
alfabet ,kwo, (kwo) alphabet,алфавит; segun alfabet в алфавитном порядке,
segun alfabet ,, alphabetically,,
alga ,kwo," (kwo) alga(e): see-weed, kelp, dulse, etc.",водоросль,
algebra ,kwo, (kwo) algebra,алгебра,
algoritma ,kwo, (kwo) algorithm,алгоритм,Turkish
aliansa ,kwo, (kwo) alliance,"союз, альянс; politike aliansa политический союз; alianser союзник",
politike aliansa ,, political alliance,,
alianser ,kwo, (kwo) ally,,
alibi ,kwo, (kwo) alibi,алиби,
alif ,kwel, (kwel) tame,"ручной, прирученный, домашний",Arabic
aligi ,kwo," (kwo) attach, append","прилагать, присоединять, прикладывать; aligi fail a leta прикреплять файл к письму; aligi-ney fail вложенный файл",
aligi fail a leta ,, attach a file to the letter (Origin: a+ligi),,
Aljiria ,kwo, (kwo) Algeria,Алжир,
alkali ,kwo, (kwo) alkali,щёлочь; alkali-ney щелочной,
alkali-ney ,kwel, (kwel) alkaline,,
alkohol ,kwo, (kwo) alcohol,"алкоголь, спирт",
almu ,kwo, (kwo) alms,милостыня,
along ,konekti, (konekti) along,"вдоль, по: along riva вдоль реки, along gata по улице",
go along gata ,, go along the street,,
along riva ,, along the river,,
Alpes ,kwo, (kwo) Alps,Альпы,
also ,," (unisi) therefore, so, then; accordingly; consequently","итак, так что, и вот, следовательно, стало быть, значит",German
altaike ,kwel, (kwel) Altaic,алтайский,
altaimi ,zwo, (zwo) update (Origin: al+taim+i),"обновлять, приводить в соответствие с современностью",
altar ,kwo, (kwo) altar,алтарь,
alternative ,kwel, (kwel) alternative,альтернативный; alternativa альтернатива,
alternativa ,kwo, (kwo) alternative,,
alterni ,zwo," (zwo) alternate, take turns","чередовать(ся), сменять(ся); alterna чередование; сменность; alterni-yen, alternem попеременно, поочерёдно",
alterna ,kwo, (kwo) alternation,,
"alterni-yen, alternem ",komo," (komo) alternately, by turns",,
aluminyum ,kwo, (kwo) aluminium (chem.),алюминий,
amasi ,zwo, (zwo) knead,"месить, замешивать",Spanish
Amasonas ,kwo, (kwo) Amazon River,Амазонка (река),
amator ,kwo, (kwo) amateur,"любитель, непрофессионал; amator-ney любительский ",
amator-ney ,kwel, (kwel) amateur,,
amaxi ,," (modus-komo) at most, not more than",самое большее; не больше чем: to ve duri amaxi un ora это продлится самое большее час,
to ve duri amaxi un ora ,, that will last one hour at most,,
amba ,kwo, (kwo) amber,янтарь,
ambi ,," (inplas-kwo, kwel) both",оба,
Nu ambi pri sey kitaba. ,,We both like this book.,,
Ambi sista pri plei kun doga. ,, Both sisters like to play with the dog.,,
ambigue ,kwel," (kwel) ambiguous, equivocal","двусмысленный, неоднозначный; ambiguitaa двусмысленность, неоднозначность",
ambiguitaa ,kwo, (kwo) ambiguity,,
ambision ,kwo, (kwo) ambition,стремление; амбиция; ambisionful амбициозный,
ambisionful ,kwel," (kwel) ambitious, full of ambition",,
ambrela ,kwo, (kwo) umbrella,"зонт, зонтик",Tok Pisin
ambulansia ,kwo, (kwo) ambulance,скорая помощь (машина),Hiligaynon
ambush ,kwo, (kwo) ambush,засада; fai ambush устраивать засаду,
fai ambush ,, make/lay an ambush,,
amen ,exklami, (exklami) amen,аминь,
Amerika ,kwo, (kwo)America (continent),Америка (континент); Amerika-ney американский; Norde Amerika Северная Америка; Amerika-jen американец (житель США - USA-jen),
Amerika-ney ,kwel, (kwel) American (of or pertaining to the Americas),,
Amerika-jen ,kwo, (kwo) American (an inhabitant of the Americas; cf. “USA-jen”),,
Norde Amerika ,, North America,,
"Amerika Latina, Latinamerika ",kwo, (kwo) Latin America,Латинская Америка,
amerikan ,," (kwel, kwo) American (of or pertaining to the USA or the American culture; American man)",американец (самоназвание граждан США); американский (выражающий культуру и национальные ценности США); fama-ney amerikan poeta известный американский поэт,
fama-ney amerikan poeta ,, famous American poet,,
amerikyum ,kwo, (kwo) americium (chem.),америций (хим.),
amiga ,kwo, (kwo) friend,"друг; amigo друг-мужчина; amigina подруга; amiga-ney (amige), amigalik дружеский, дружественный; приветливый; amigem дружелюбно; amigitaa дружба; fai amigitaa дружить, сдружиться; beamigi зафрендить; deamigi расфрендить",
amigo ,kwo, (kwo) male friend,,
amigina ,kwo, (kwo) female friend,,
"amiga-ney (amige), amigalik ",kwel," (kwel) amiable, affable, friendly",,
amigitaa ,kwo," (kwo) friendship, amity",,
beamigi ,zwo, (zwo) friend (add to a list of friends),,
deamigi ,zwo, (zwo) unfriend,,
amini ,, (modus-komo) at least,"по меньшей мере, как минимум: to ve duri amini un ora это продлится по меньшей мере час",
to ve duri amini un ora ,, that will last one hour at least,,
amper ,kwo, (kwo) ampere,"ампер; sto amper сто ампер, shi mikroamper 10 микроампер",
sto amper ,, 100 amperes,,
shi mikroamper ,, 10 microamperes,,
amplituda ,kwo, (kwo) amplitude,амплитуда,
Amur ,kwo, (kwo) Amur River,Амур (река),
amusi ,zwo," (zwo) amuse, entertain","развлекать; забавлять; amusi swa развлекаться, забавляться; amusa развлечение; забава; приятное времяпровождение; amusi-she занимательный",
amusi swa ,, amuse oneself,,
