UROPI,FRANÇAIS,ENGLISH,ESPAÑOL,DEUTSCH,РУССКИЙ,ITALIANO
agreno,"agrandir, augmenter",bigger (to make),agrandar,vergrößern,увеличивать,ingrandire
agresad,"augmentation, accroissement",increase,"aumento, incremento","Anwachs, Zunahme","восрастание, увеличение","aumento, incremento"
agresiòn,agression,aggression,,,,
agresivi,agressif,aggressive,,,,
agresivid,agressivité,aggressivity,,,,
agreso,accroître,increase (to),aumentar,"steigern, zunehmen","восрастать, увеличивать",aumentare
agreso,"augmenter (trans.), accroître",increase (to),aumentar,"steigern, zunehmen","восрастать, увеличивать",aumentare
agri,agricole,agricultural,,,,
agrimezor,géomètre,,,,,
agrìp,assaut,"assault, attack",,,,
agripad,agression,aggression,,,,
agripi,d'agression,"assault, attack (of - ) (ad.j)",,,,
agripic,agressif,aggressive,agresivo,"aggressiv, angriffslustig",агрессивный,aggressivo
agripo,"agresser, assaillir",assault (to),asaltar,angreifen,нападать,assalire
agripor,agresseur,"aggressor, attacker",,,,
agrizad,"agriculture, culture","agriculture, cultivation",,,,
agrizi,agricole,agricultural,,,,
agrizo,"cultiver (terre, etc…)","till, cultivate (to)",cultivar,bebauen,"возделывать, культивировать",coltivare
agrizor,"agriculteur, cultivateur",farmer,,,,
agronomic,agronomique,agronomic,,,,
agronomij,agronomie,agronomy,,,,
agronomìst,agronome,agronomist,,,,
agrumad,affliction,affliction,,,,
agruman,affligeant,distressing,,,,
agrumo,"affliger, peiner, chagriner",grieve (to),,,,
agrupad,regroupement,"grouping, regrouping",,,,
agrupo,regrouper,"group, gather (to) (trans.)",,,,
agufan,assourdissant,deafening,,,,
agufo,assourdir,deafen (to),,,,
agurnoven,intrigué,,,,,
Agùst,août,August,agosto,August,август,agosto
Agusti,d'août,August- (of - ) (adj.),,,,
ah,"ah (appréciation, bonne surprise)","ah !, ha !",,,,
aholad,"hausse, rehaussement, relèvement","raising, heightening",,,,
aholo,"hausser, rehausser, relever","heighten, raise",,,,
aj,oui,yes,sí,ja,да,si
ajad,acquiescement,acquiescence,,,,
ajaso,glacer,"chill, freeze (to)",,,,
ajo,acquiescer,acquiesce (to),,,,
ajugo,atteler (boeufs au joug),yoke (to),,,,
ajùt,annexe (document),"appendix, annex (document)",,,,
ajutad,"adjonction, ajout",addition,,,,
ajuten,annexe (adj.),added,,,,
ajuti,annexe (adj.),adjunct,,,,
ajutia,annexe (bâtiment),annexe (building),,,,
ajutim,"de surcroît, de plus",,,,,
ajuto,"ajouter, adjoindre",add (to),añadir,"zufügen (hin-, bei-)",прибавлять,aggiungere
ak,pointe,"spike, point",,,,
akademian,académicien,,,,,
akademic,académique,academic,,,,
akademij,académie,academy,academia,Akademie (f),академия,academia
akànt,acanthe,acanthus,,,,
akarad,action d'apporter en véhi-cule,"bringing with a vehicle, carting",,,,
akaro,apporter en véhicule,"bring with a vehicle, cart",,,,
akasia,acacia,acacia,,,,
akel pl. -kle,épi,,,,,
aki,"aigu, acéré, pointu, piquant, perçant (regard)",acute,agudo,"spitz, akut",острый,acuto
akid,acuité,acuteness,,,,
Akile,Achille,Achilles,,,,
akimenti,perspicace,"shrewd, sharp, acute",,,,
akioran,à l'ouie perçante,sharp-eared,,,,
akipuntad,acuponcture,acupuncture,,,,
akipuntor,acuponcteur,acupuncturist,,,,
akisini,sagace,"sagacious, acute, sharp",,,,
akivizan,à la vue perçante,sharp-sighted,,,,
akivoci,à la voix aigue,"shrill, high-pitched (with a - voice) (adj)",,,,
akivocim,d'une voix aigüe,"shrill, high-pitched (with a - voice) (adv)",,,,
akìz,acide (N),acid,ácido,Säure,кислота,acido
akizad,acidification,acidification,,,,
akizi,acide (adj),acid (adj),,,,
akizic,acidulé,acidulous,,,,
akizid,acidité,acidity,,,,
akizivad,acidification,"sour, acid (turning - )",,,,
akizivo,s'acidifier,"sour, acid (to turn - )",,,,
akìzo,"acidifier, rendre acide",acidify (to),,,,
aklajad,acclamation,cheering,,,,
aklajo,acclamer,"cheer, acclaim (to)",,,,
aklarad,éclaircissement,clearing up,,,,
aklaro,éclaircir,clear (to),aclarar,klären,прояснять,chiarire
aklemad,action de fixer avec une pince,pliers (securing with -),,,,
aklemo,fixer avec une pince,pliers (to secure with - ),,,,
akli,"d'épi, en épi","ear, cob (relating to an -, a -)",,,,
aklicad,action d'enclencher,engaging (tech),,,,
aklico,enclencher,"engage (tech.), trigger",,,,
aklimatad,acclimatation,acclimation,,,,
aklimato,acclimater,acclimate (to),,,,
aklimo,"escalader, gravir","climb (to), ascend",,,,
aklinad,action d'incliner,"tilting, inclining (N)",,,,
aklinemo,glaner,glean (to),,,,
aklinemor,glaneur,,,,,
aklino,"incliner, pencher, faire pencher","tilt, slope, incline (to) (trans)",,,,
aklòn,érable,maple,,,,
aknea,acné,acne,,,,
akompanad,accompagnement (mus.),accompaniment,,,,
akompano,accompagner (mus.),"accompany (to, mus)",,,,
akompanor,accompagnateur (mus.),accompanist,,,,
akonad,action de faire connaissance,acquainted (getting - ) (N),,,,
akonen,"connaissance (pers.), relation",acquaintance,conocido,Bekannte,знакомый,conoscenza
akonen,connaissance (personne),acquaintance,conocido,Bekannte,знакомый,conoscenza
akono ekun,connaissance (faire - ),,,,,
akòrd,accord (musique),chord (music),,,,
akordiòn,accordéon,accordion,,,,
akordionìst,accordéoniste,accordionist,,,,
akordo,accorder (instrument de musique),tune (to) (musical instrument),,,,
akordor,accordeur,tuner (musical instrument),,,,
akreditad,accréditation,,,,,
akredito,accréditer,,,,,
akri,"âcre, âpre","acrid, pungent",,,,
akrid,âcreté,pungency,,,,
akrilik,acrylique (N),,,,,
akriliki,acrylique (adj.),,,,,
akrobàt,acrobate,acrobat,,,,
akrobatad,acrobatie,acrobatics,,,,
akrobati,acrobatique,acrobatic,,,,
akrobatim,acrobatiquement,acrobatically,,,,
akrobato,faire des acrobaties,acrobatics (to perform - ),,,,
aks,axe,axis,eje,Achse,ось,asse
aksèl,essieu,axle,,,,
"aksel, pl. aksle",aisselle,"armpit, axilla",,,,
aksènt,accent,accent,acento,Akzent (m),"ударение, акцент",accento
aksentad,accentuation,"accentuation, stress",,,,
aksento,accentuer,stress (to),,,,
aksi,axial,axial,,,,
aksiòn,action (financier),share (fin),acción (fin),Aktie,акция,azione (fin)
aksioni,"d'action, par actions","share-, concerning shares (adj.)",,,,
aksionor,actionnaire,shareholder,accionista,Aktionär,акционер,azionista
aksionorad,actionnariat,share ownership,,,,
akt,"acte (action, théâtre)",act,acto,"Tat, Handlung","поступок, действие",atto
aktad,action (gen.),action,acción,"Tat, Handlung",действие,azione
aktivi,actif,active,activo,aktiv,"активный, действующий",attivo
aktivid,activité,activity,actividad,Tätigkeit,"деятельность, активность",attività
aktivim,activement,actively,,,,
aktivizad,activation,activating (N),,,,
aktivizo,activer,activate (to),,,,
aktizad,actionnement,,,,,
aktizo,actionner,,,,,
akto,agir,act (to),"obrar, actuar",handeln,действовать,agire
"aktor, aktora","acteur, -trice",,,,,
aktùal,actuel,,,,,
aktualad,actualité,"topicality, current affairs",,,,
aktualizad,actualisation,update,,,,
aktualizo,actualiser,"actualize, update (to)",,,,
aktujo,faire le cabotin,ham it up (to),,,,
aktujor,"mauvais acteur, cabotin",ham (actor),,,,
akulpad,accusation,"accusation, charge",acusación,Anklage,обвинение,accusa
akulpan,accusateur (adj.),accusing,,,,
akulpen,accusé,accused (the),acusado,Angeklagte,обвиняемый,imputato
akulpo,accuser,accuse (to),acusar,anklagen,обвинять,"accusare, incolpare"
akulpor,accusateur (N),,,,,
akumad,accumulation,accumulation,,,,
akumo,"entasser, empiler, accumuler",accumulate (to),,,,
akusatìv,accusatif,accusative,,,,
akustad,action d'accoster,"berthing (boat), drawing alongside",,,,
akustik,acoustique (N),acoustics,acústica,Akustik,акустика,acustica
akustiki,acoustique (adj.),acoustic (adj.),,,,
akustikor,acousticien,,,,,
akusto,accoster,"accost, berth (to)",,,,
akuvo,faire bouillir,boil (to) something (trans),,,,
akwamarin,aigue-marine,aquamarine,,,,
akwaria,aquarium,aquarium,,,,
akwartirad,cantonnement (action),"stationing, billeting, quartering (troops)",,,,
akwartiro,cantonner (troupes),"billet, station, quarter (troops)",,,,
al,air (gaz),air,aire,Luft (f),воздух,aria
alad,aération,airing,,,,
alafrijad,refroidissement par air,air cooling,,,,
alàrm,"alarme, alerte",alarm,"alarma, alerta","Alarm, Lärm (m)",тревога,allarme
alarman,alarmant,alarming,,,,
alarmen,affolé,alarmed,,,,
alarmo,"alerter, alarmer",alarm (to),,,,
alaro,faire rire,laugh (to make sbdy - ),,,,
alb,aube,dawn,alba,Morgendämmerung,"рассвет, заря",alba
alba,aube (vêtement),,,,,
"Albàn, -a (N)","Albanais, -e",,,,,
Albani,albanais (adj. & lang.),,,,,
Albania,Albanie,Albania,,,,
albàst,albâtre,alabaster,,,,
albasti,d'albâtre (adj),alabaster- (adj.),,,,
albatròz,albatros,albatross,,,,
albùm,album,album,álbum,Album (n),альбом,album
albumin,albumine,albumin,,,,
ald,âge,age,edad,Alter (n),возраст,età
alden,âgé,"old, aged",edad (de),alt (2),возрасте (в),età (d')
aldigrup,"groupe, classe d'âge",,,,,
aldivo,prendre de l'âge,age (to),,,,
alegoric,allégorique,allegorical,,,,
alegorij,allégorie,allegory,,,,
aleja,allée,"lane, alley",,,,
alejad,"allégement, adoucissement",lightening (N),,,,
alejo,"alléger, adoucir (chagrin)",lighten (to),,,,
alekan,alléchant,mouth-watering,,,,
aleki,alléchant,mouth-watering,,,,
aleko,allécher,"tempt, make one's mouth water",,,,
alem,haleine,breath,aliento,Atem,дыхание,"alito, fiato"
aleran,instructif,instructive,,,,
alergeni,allergène,allergenic,,,,
alergic,allergique,allergic,,,,
alergij,allergie,allergy,,,,
alero,faire apprendre,learn (make sbdy - ),,,,
aleʒad,"action de coucher, application (pommade…)","laying down, putting to bed N",,,,
aleʒo,"coucher, allonger qqun appliquer (pommade, etc.)","lay down, put to bed (to)",,,,
alfabèt,alphabet,alphabet,alfabeto,Alphabet,алфавит,alfabeto
alfabeti,alphabétique,alphabetical,,,,
alg,algue,"seaweed, alga",,,,
algebra,algèbre,algebra,,,,
algebru,algébrique,algebraic,,,,
ali,"à air, aérien (de l'air), pneumatique",air- (adj.),,,,
alibàg,airbag,,,,,
alibij,alibi,alibi,,,,
alibubel,bulle d'air,air bubble,,,,
alidinamik,aérodynamique (science),aerodynamics,,,,
alidinamiki,aérodynamique (adj),aerodynamic,,,,
alifilter pl. -tre,filtre à air,,,,,
aliflàd,courant d'air,"draught, air flow",,,,
aliflod,radeau pneumatique,,,,,
alifrèm,aérofrein,air brake,,,,
aligad,alliance (entre pays),alliance,,,,
aligen,allié,ally,,,,
aligo sia aligo ki,allier s' allier à,,,,,
aliklàp,volet d'aération,,,,,
alikùc,coussin d'air,,,,,
alinad,alignement,alignment,,,,
alinàv,aéronef,,,,,
alinavi,aéronautique (adj),aeronautical,,,,
alinavid,aéronautique (N),aeronautics,,,,
alinavor,aéronaute,aeronaut,,,,
alino,aligner,align (to),,,,
aliòk,ail,garlic,ajo,Knoblauch,чеснок,aglio
alioki,"d'ail, à l'ail, aillé adj.",garlic- (adj.),,,,
alipòr,trou d'air,air pocket (plane),,,,
alipresad,pression atmosphérique,atmospheric pressure,,,,
alisak,poche d'air,air pocket (gen),,,,
alislizèl,aéroglisseur,hovercraft,,,,
alisond,sonde atmosphérique,sonde,,,,
alisoren,séché à l'air,air dried,,,,
alistrom,courant d'air,draught (violent),,,,
alitad,location (propriétaire),"renting, letting",,,,
alitesen,étanche à l'air,air-proof,,,,
alitiburò,bureau de location,booking office,,,,
alito,louer (propriétaire),"let, lease, rent out (to)",,,,
alitor,loueur,lets (person who - ) (owner),,,,
alitùb,chambre à air,"tube (inner - , tyre)",,,,
alivad,"augmentation (salaire, etc…)",raise (N),,,,
alivo,"faire monter, augmenter, relever","raise, put up (to)",,,,
alizad,aération,"airing, ventilation","ventilación, aeración",Belüftung,"проветривание, вентиляция",aerazione
alizen,aéré,"aired, airy, ventilated",,,,
alizo,aérer,"air, ventilate (to)",,,,
alkimic,alchimique,alchemical,,,,
alkimij,alchimie,alchemy,,,,
alkimìst,alchimiste,alchemist,,,,
alkòd,coude,elbow,codo,Ellenbogen,локоть,gomito
alkodim,"du coude, avec le coude adv.",elbow (with the - ) adv.,,,,
alkodo (sia - ),jouer des coudes s'accouder,,,,,
alkòl,alcool,alcohol,alcohol,Alkohol (m),алкоголь,alcool
alkoli,"alcoolisé, alcoolique",alcoholic (adj.),,,,
alkolin,alcoolique (N),alcoholic (N),,,,
alkolisma,alcoolisme,alcoholism,,,,
alkova,alcôve,"alcove, recess",,,,
alm,âme,soul,,,,
almànd,amande,almond,almendra,Mandel,"миндалина, миндаль",mandorla
almandar,amandier,almond tree,,,,
almandi,d'amande adj.,almond- (adj.),,,,
almi,de l'âme adj.,soul- (adj.),,,,
almòz,aumône,alms,,,,
almozor,aumônier,"chaplain, almoner",,,,
aln,aune,ell,,,,
alòng,long (le - de),along,largo de (a lo -),"längs, entlang",вдоль,lungo (prep)
alongad,action de longer,"along (going, marching - )",,,,
alongo,longer,"along (go, march - )",,,,
alotad,allocation,allocation,,,,
aloto,allouer,allocate,,,,
Alpe,Alpes,Alps,,,,
Alpi,alpin,alpine,,,,
alpinìst,alpiniste,"alpinist, mountaineer",,,,
alpipastia,alpage,mountain pasture,,,,
als,alène,awl,,,,
altar,autel,altar,altar,Altar,алтарь,altare
altaritabel,retable,altarpiece,,,,
altem,"autrement, sinon",otherwise,otro modo (de),anders,иначе,altrimenti
alten,autre,other,otro,ander,другой,altro
altenisma,altruisme,altruism,,,,
altenìst,altruiste N,altruist,,,,
altenisti,altruiste adj.,altruistic,,,,
altenivad,alternance,alternation,,,,
altenivi,alternatif,"alternative, alternating",,,,
altenivid,alternative,alternative (N),,,,
altenivim,alternativement,alternately,,,,
altenivo,alterner (intrans),alternate (to) (intr),,,,
altenizo,alterner (trans.),alternate (to) (trans),,,,
altenmodim,d'une autre manière,another way (in -),,,,
altenzatim,"d'un autre côté, d'autre part",other hand (on the - ),,,,
alti,grand (personne de haute taille),tall,alto,groß,"высокийj, большой",alto
altia,ailleurs,elsewhere,otra parte (en),anderswo,другом месте (в),altrove
altid,"taille (personne), grandeur","height, tallness (person)",,,,
alucad,"action d'allumer, allumage (lumière)",lighting (act),,,,
aluco,allumer (lumière),light (to) (lamp),encender (luz),anmachen (Licht),освещать 2,accendere (luce)
alùm,alun,alum,,,,
alumin,aluminium,aluminium,aluminio,Aluminium,алюминий,alluminio
alumina,alumine,alumina,,,,
Alʒiria,Algérie,Algeria,Argelia,Algerien,Алжир,Algeria
"Alʒirian, Alʒiriana","Algérien, -ne",,,,,
amarad,amerrissage,sea-landing,,,,
amaro,amerrir,sea-landing (make a - ),,,,
Amazòn,Amazone (fleuve),Amazon (river),,,,
Amazona,Amazone (gr. myth.),Amazon (horsewoman),,,,
ambar,ambre,amber,,,,
ambasad,ambassade,embassy,embajada,Botschaft,посольство,ambasciata
ambasador,ambassadeur,ambassador,embajador,Botschafter,посол,ambasciatore
ambrosij,ambroisie,ambrosia,,,,
ambulàns,ambulance,ambulance,ambulancia,Krankenwagen (m),машина скорой помощи,ambulanza
ambulansor,ambulancier,ambulance man,,,,
ameba,amibe,amoeba,,,,
amebu,amibien,amoebic,,,,
ameco,amollir,"soften, weaken (to) (trans.)",,,,
amelad,"adoucissement, atténuation","softening, mitigation",,,,
amelan,"atténuant, adoucissant","mitigating, soothing",,,,
amelo,"atténuer, adoucir","soften, make milder, mitigate",,,,
amendad,amendement,amendment,,,,
amendo,amender,amend (to),,,,
amentad,mention,mention,,,,
amento,mentionner,mention (to),,,,
Amerika,Amérique,America,América,Amerika,Америка,America
"Amerikan, Amerikana","Américain, -e",,,,,
amerikanizad,américanisation,Americanization,,,,
amerikanizo,américaniser,Americanize,,,,
ametist,améthyste,amethyst,,,,
amfòr,amphore,amphora,,,,
aminad,"amoindrissement, diminution",lessening (N),,,,
amino,"amoindrir, diminuer, réduire","lessen, diminish (to)",,,,
amiràl,amiral (N),admiral,,,,
amiralad,amirauté,admiralty,,,,
amirali,amiral (adj),admiral's (adj.),,,,
amnesic,amnésique,amnesic,,,,
amnesij,amnésie,amnesia,,,,
amnestij,amnistie,amnesty,,,,
amnestijo,amnistier,amnesty 'to),,,,
amoblad,ameublement (action),furnishing,,,,
amoblo,meubler,furnish (to),,,,
amolad,augmentation,,,,,
amolo,"augmenter, accroître",,,,,
amoniàk,ammoniac (N) (gaz),,,,,
amoniaki,"ammoniacal, ammoniaque",,,,,
amoniaki vod,ammoniaque (solution aqueuse d'ammoniac),,,,,
amortizad,amortissement (fin.),"paying off, redemption",,,,
amortizèl,amortisseur,,,,,
amortizo,amortir (financier),amortize (to),,,,
amplitud,amplitude,amplitude,,,,
amputad,amputation,amputation,,,,
amputo,amputer,amputate (to),,,,
amulet,amulette,amulet,,,,
amuzad,amusement,,,,,
amuzan,amusant,amusing,,,,
amuzo (sia),amuser (s' - ),"enjoy, amuse (oneself)",entretener(se),amüsieren (sich),развлекаться,divertir(si)
anabelen,"non embelli, non enjolivé",,,,,
anabli,incapable,unable,incapaz,unfähig,неспособный,incapace
anablid,incapacité,inability,,,,
